Learning Rate,0.1,0.01,0.001,0.0001
Number of hidden layers,2,3,4
Number of units per hidden layer,30,50,70,90,110
Number of iterations,500,1000,5000


Learning Rate,Number of hidden layers,Number of units per hidden layer,Number of iterations,e1,e2,e3,e4,e5,e6
0.01,4.0,70.0,500.0,1.4250679129890749,1.537675580801311,1.3208655137460314,0.5581807316844398,3.507933239321341,0.6557374939929865
0.01,4.0,70.0,1000.0,0.6405682852268962,0.557930358624936,0.500843851461561,1.0381587387796285,2.442330767553177,0.6253815725620347
0.01,4.0,70.0,5000.0,0.30136086161730297,0.2504038155890092,0.25293032565462803,0.27688645000438616,0.5035024861836324,0.4272664141828319
0.01,4.0,90.0,500.0,1.1025140838202627,1.2129599234728627,1.3697364336298818,1.7369847529131344,3.285936344671249,0.8397921792556764
0.01,4.0,90.0,1000.0,2.3438264137345244,2.0438521481764718,2.0256086805082805,3.8282365176533224,4.82769323846713,3.592486642472481
0.01,4.0,90.0,5000.0,0.3609544849668642,0.18940603594248084,0.15783624136209976,0.16513829371330102,0.9576016341751838,0.21250207468535479
0.01,4.0,110.0,500.0,0.38346514023493505,0.9900072520058754,1.864116331441528,0.5125058774704356,2.7343587765234156,0.5519724176525999
0.01,4.0,110.0,1000.0,0.42945975647370427,0.6331800840023128,0.4333636056469442,0.43586546253431063,1.9099900340337312,0.24990547512086245
0.01,4.0,110.0,5000.0,0.8649812367964906,0.9680600537071947,0.9928761442162729,0.8102340827601634,0.461966562892701,0.4140472467973305
0.001,2.0,30.0,500.0,14.069574750235295,27.99460304676836,34.17437624455227,11.894416598257324,15.655577248402796,3.5092833939945436
0.001,2.0,30.0,1000.0,11.356173699665664,12.57493017833213,15.865624158506863,5.773118319294025,7.173497306930039,1.3271954087295883
0.001,2.0,30.0,5000.0,0.9094523310926482,1.9302989559906378,2.2832763905111304,1.6564000677456392,1.4709009343944364,2.1427629185407753
0.001,2.0,50.0,500.0,10.288526060937762,25.07413394940948,32.021563449225695,9.249515537116885,10.080770377012417,2.4042770863046794
0.001,2.0,50.0,1000.0,10.783576068314243,12.626240327479632,13.199521989019642,5.750366915563121,10.280220033243058,1.051199780703119
0.001,2.0,50.0,5000.0,1.0091801440069987,1.382081947237735,1.8465682516323894,0.9458011744570142,3.2038974139751173,1.1765395968257835
0.001,2.0,70.0,500.0,9.307495566038144,16.544878291211713,22.190490248541696,8.36317995727035,7.666660584559964,1.3885387326589185
0.001,2.0,70.0,1000.0,8.267683879901842,9.274723111660057,9.201904325767828,6.239881934512229,6.611215230985379,2.0075266921544754
0.001,2.0,70.0,5000.0,0.5304331290830715,0.7795970614416103,1.3391639696007656,1.0411621927516963,1.7084898389718808,0.8648577940013955
0.001,2.0,90.0,500.0,16.283404176087718,16.761701178778875,21.40151271522929,5.9585648095949315,8.845720412505855,3.127102521997948
0.001,2.0,90.0,1000.0,8.447459662549276,9.97831942586815,9.734874991638668,4.3641337698097225,6.539446371893021,3.9024625101003787
0.001,2.0,90.0,5000.0,0.7055495958343317,1.1532481124766478,1.6639160024766695,0.43447445699220605,1.0495457100729244,1.1253377418015877
0.001,2.0,110.0,500.0,12.561949295386881,14.217155010403914,18.617756941621604,4.353386586267498,4.849524335812226,1.2658065497336275
0.001,2.0,110.0,1000.0,5.765437489925959,8.200236292452932,8.945147082280663,3.5006935291879593,2.0574843171748047,2.727927902908669
0.001,2.0,110.0,5000.0,0.7074502276652463,1.1330241121693871,1.2140226845110378,0.59694014919469,1.388462473713136,0.2954239231222363
0.001,3.0,30.0,500.0,20.047330059949417,18.737051903152157,24.209628911174345,11.383839018705377,8.790573082159705,4.391874640002165
0.001,3.0,30.0,1000.0,8.982791993099415,8.602358689405907,8.561158220433898,2.820281823200303,6.072331888398555,2.634543401893813
0.001,3.0,30.0,5000.0,0.9216034578951463,0.9987861313253475,1.4245996422207015,1.356783943707788,2.430270818834025,0.9399053995279256
0.001,3.0,50.0,500.0,11.566378044343955,15.033556494617493,18.81413035275392,5.4947086913528835,7.802691245328725,2.31594470926385
0.001,3.0,50.0,1000.0,4.199815085130314,6.6463832260306805,6.769035110738352,3.7596046955596383,3.2042536516534206,3.602551099496735
0.001,3.0,50.0,5000.0,0.7216403818203274,1.0215563495602287,1.2735596639001374,0.9585720063696254,1.4451693736385858,1.5748771814076339
0.001,3.0,70.0,500.0,10.718825416909588,14.109750908729746,17.352258460382718,5.8469764190480396,8.211035200626979,2.4721716847317965
0.001,3.0,70.0,1000.0,3.499386123597719,5.095419302509465,4.891315533555959,3.8873810313170045,10.67176868531788,2.243012400244466
0.001,3.0,70.0,5000.0,0.5868448237198536,0.39789584665561134,0.7151298107680248,0.32157730520796834,1.1818749744768735,0.6766807571801178
0.001,3.0,90.0,500.0,10.77892597878618,11.685245627299365,13.665585910767852,4.948866915803014,1.7344056321958468,1.3243950021318
0.001,3.0,90.0,1000.0,4.75087837331011,4.959389538679322,4.238027428602791,1.6234100525508488,4.3137081127483565,1.4742902904451343
0.001,3.0,90.0,5000.0,0.21759822892049094,0.9986266459716469,0.7870265555938606,0.40960730297881787,1.142914736683879,0.7296929426506131
0.001,3.0,110.0,500.0,9.625491569360006,9.203248974075644,10.03445726801374,5.368496454628893,8.815335945163726,1.3248579419758788
0.001,3.0,110.0,1000.0,2.9486273055655943,3.7585262936437402,3.3028016040038346,3.8759429574042095,8.990865544604867,2.0818021495695014
0.001,3.0,110.0,5000.0,0.43812885341964886,0.466332709219764,0.43470356287122175,0.1692171827695782,1.364042758947865,0.6877373990456898
0.001,4.0,30.0,500.0,20.345119124911452,15.25199970268405,20.98100733910651,9.419033166096282,12.116694774688357,1.161267386840732
0.001,4.0,30.0,1000.0,5.949208289965559,8.79228768593285,9.151328980294696,5.919126484274807,10.467435966277325,2.9048795932349702
0.001,4.0,30.0,5000.0,1.7279285770984136,1.5071552581672083,2.2306428707415087,0.6676958948934761,1.9213635735678594,1.4189941038380887
0.001,4.0,50.0,500.0,21.817552461493356,17.748845007256723,22.095272888184535,10.981558504740516,13.766726879523022,3.1842220163304784
0.001,4.0,50.0,1000.0,6.4952893393652875,7.156861341459055,7.2715619484736065,4.450706171522171,5.448446760278978,2.117859519784868
0.001,4.0,50.0,5000.0,0.7881488299986541,0.8399257497474533,1.1819494683907308,0.6293596279855588,1.8476397516067622,1.4487769595675346
0.001,4.0,70.0,500.0,9.702771628659718,9.066576225920345,12.656287250810836,4.7037351740444,6.800803319271218,3.2175993043648274
0.001,4.0,70.0,1000.0,2.4638001140563626,3.3501455159259073,2.5637455170391106,1.3922801273622083,2.1268340847949996,1.4628564277498886
0.001,4.0,70.0,5000.0,0.23841285515713126,0.2773319991265701,0.5054211453396931,0.5801272101894815,1.5453764259281946,0.5359097212214398
0.001,4.0,90.0,500.0,10.893775809034848,10.842207445775632,12.893877746161934,3.176953781589923,4.1695274248195915,2.0315180525188055
0.001,4.0,90.0,1000.0,1.7547814038122063,3.036000520903035,3.127202889676713,2.1146139146280203,4.754000505683729,1.6412300098802517
0.001,4.0,90.0,5000.0,0.48274233778796205,0.4686659332773177,0.5795047003555497,0.45172715395868185,1.6785311190989447,0.7539345001680883
0.001,4.0,110.0,500.0,9.396751451146242,9.46476355880336,10.298916585626054,3.22565642635394,8.517864128668009,1.668122364835355
0.001,4.0,110.0,1000.0,1.3678275252269663,2.9508008112576096,2.3198197039316275,1.6182955446687013,3.410271983123023,1.4157562726814452
0.001,4.0,110.0,5000.0,0.3482224081380673,0.3446261209029025,0.5101163554535616,0.47887032663794993,0.3370556110980753,0.5757292608228124
0.0001,2.0,30.0,500.0,81.89997860405235,91.98597196811244,98.77148433815117,24.944466093145294,34.83719251478754,15.421135299497845
0.0001,2.0,30.0,1000.0,16.94309019300732,43.55039569684027,72.02002089046911,9.977733179098456,4.460541056620235,1.3574569187485725
